//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-11-2015
//--  Time: 15:40
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 20(C), 	Resistance 1: 2500 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 90(C), 	Resistance 3: 230 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
708	35.02	350 	3.457
709	34.85	348 	3.462
710	34.67	347 	3.467
711	34.49	345 	3.472
712	34.31	343 	3.477
713	34.13	341 	3.481
714	33.96	340 	3.486
715	33.78	338 	3.491
716	33.60	336 	3.496
717	33.42	334 	3.501
718	33.24	332 	3.506
719	33.06	331 	3.511
720	32.88	329 	3.516
721	32.70	327 	3.521
722	32.52	325 	3.525
723	32.34	323 	3.530
724	32.16	322 	3.535
725	31.98	320 	3.540
726	31.80	318 	3.545
727	31.62	316 	3.550
728	31.44	314 	3.555
729	31.26	313 	3.560
730	31.07	311 	3.564
731	30.89	309 	3.569
732	30.71	307 	3.574
733	30.53	305 	3.579
734	30.34	303 	3.584
735	30.16	302 	3.589
736	29.98	300 	3.594
737	29.79	298 	3.599
738	29.61	296 	3.604
739	29.42	294 	3.608
740	29.24	292 	3.613
741	29.05	291 	3.618
742	28.87	289 	3.623
743	28.68	287 	3.628
744	28.50	285 	3.633
745	28.31	283 	3.638
746	28.13	281 	3.643
747	27.94	279 	3.647
748	27.75	278 	3.652
749	27.56	276 	3.657
750	27.38	274 	3.662
751	27.19	272 	3.667
752	27.00	270 	3.672
753	26.81	268 	3.677
754	26.62	266 	3.682
755	26.43	264 	3.687
756	26.25	262 	3.691
757	26.06	261 	3.696
758	25.87	259 	3.701
759	25.67	257 	3.706
760	25.48	255 	3.711
761	25.29	253 	3.716
762	25.10	251 	3.721
763	24.91	249 	3.726
764	24.72	247 	3.730
765	24.52	245 	3.735
766	24.33	243 	3.740
767	24.14	241 	3.745
768	23.94	239 	3.750
769	23.75	238 	3.755
770	23.56	236 	3.760
771	23.36	234 	3.765
772	23.17	232 	3.770
773	22.97	230 	3.774
774	22.78	228 	3.779
775	22.58	226 	3.784
776	22.38	224 	3.789
777	22.19	222 	3.794
778	21.99	220 	3.799
779	21.79	218 	3.804
780	21.59	216 	3.809
781	21.39	214 	3.813
782	21.19	212 	3.818
783	20.99	210 	3.823
784	20.79	208 	3.828
785	20.59	206 	3.833
786	20.39	204 	3.838
787	20.19	202 	3.843
788	19.99	200 	3.848
789	19.79	198 	3.853
790	19.58	196 	3.857
791	19.38	194 	3.862
792	19.18	192 	3.867
793	18.97	190 	3.872
794	18.77	188 	3.877
795	18.56	186 	3.882
796	18.36	184 	3.887
797	18.15	182 	3.892
798	17.95	179 	3.896
799	17.74	177 	3.901
800	17.53	175 	3.906
801	17.32	173 	3.911
802	17.11	171 	3.916
803	16.91	169 	3.921
804	16.70	167 	3.926
805	16.49	165 	3.931
806	16.28	163 	3.936
807	16.06	161 	3.940
808	15.85	159 	3.945
809	15.64	156 	3.950
810	15.43	154 	3.955
811	15.21	152 	3.960
812	15.00	150 	3.965
813	14.78	148 	3.970
814	14.57	146 	3.975
815	14.35	144 	3.979
816	14.14	141 	3.984
817	13.92	139 	3.989
818	13.70	137 	3.994
819	13.48	135 	3.999
820	13.27	133 	4.004
821	13.05	130 	4.009
822	12.83	128 	4.014
823	12.61	126 	4.019
824	12.38	124 	4.023
825	12.16	122 	4.028
826	11.94	119 	4.033
827	11.72	117 	4.038
828	11.49	115 	4.043
829	11.27	113 	4.048
830	11.04	110 	4.053
831	10.81	108 	4.058
832	10.59	106 	4.063
