#Firmware: MS2/Extra release 3.3.1  20131206 18:45GMT(c)KC/JSM/JB   MS2
ToothTime,Time
ms,ms
0.8448,677.1079
0.84612,677.95404
0.84744,678.80145
0.84942,679.6509
0.85008,680.501
0.85074,681.35175
0.8514,682.2031
0.85008,683.0532
0.8514,683.9046
0.85074,684.7554
0.85206,685.6074
0.85536,686.46277
0.85734,687.3201
2.55288,689.873
0.87648,690.74945
0.8514,691.6008
0.85338,692.4542
0.85404,693.3083
0.85404,694.16235
0.85338,695.01575
0.8514,695.8671
0.85074,696.7179
0.85074,697.56866
0.85008,698.41876
0.85998,699.27875
0.84018,700.11896
0.85008,700.96906
0.8514,701.82043
0.85272,702.67316
0.85602,703.5292
0.85734,704.38654
0.85668,705.2432
0.85998,706.1032
0.86064,706.96387
0.86064,707.8245
0.8613,708.68585
0.86196,709.5478
0.86196,710.4097
0.86394,711.2737
0.86328,712.13696
0.86262,712.9996
0.86328,713.86285
0.86262,714.72546
0.86262,715.5881
0.86064,716.4487
0.858,717.3067
0.85668,718.1634
0.85536,719.01874
0.85668,719.8754
0.8547,720.7301
0.85536,721.58545
0.85404,722.4395
0.85404,723.2936
0.85404,724.14764
0.86724,725.0149
0.83886,725.85376
0.85602,726.7098
0.858,727.56775
0.85866,728.4264
0.86064,729.28705
0.8613,730.1484
0.86328,731.01166
0.86394,731.8756
0.8646,732.74023
0.86526,733.60547
0.86328,734.46875
0.86526,735.334
0.8646,736.1986
0.86526,737.06384
0.8679,737.93176
0.86922,738.80096
2.57994,741.3809
0.87978,742.2607
0.85602,743.1167
0.85668,743.9734
0.85668,744.8301
0.85734,745.68744
0.85602,746.54346
0.85536,747.3988
0.8547,748.2535
0.8547,749.10815
0.85536,749.9635
0.8646,750.8281
0.84414,751.67224
0.85536,752.5276
0.85536,753.38293
0.85668,754.2396
0.8613,755.10095
0.86064,755.9616
0.8613,756.82294
0.8646,757.68756
0.86394,758.5515
0.86526,759.41675
0.8646,760.2814
0.86592,761.1473
0.86658,762.01385
0.86856,762.8824
0.86856,763.7509
0.86988,764.6208
0.86988,765.49066
0.87252,766.36316
0.87252,767.23566
0.87054,768.1062
0.8712,768.9774
0.86856,769.84595
0.86658,770.7125
0.86922,771.5817
0.86658,772.4483
0.86526,773.31354
0.8646,774.17816
0.8646,775.0428
0.86394,775.90674
0.87714,776.7839
0.84876,777.6326
0.86658,778.4992
0.8679,779.3671
0.86856,780.23566
0.87186,781.10754
0.87186,781.97943
0.8745,782.85394
0.87648,783.7304
0.87516,784.6056
0.8778,785.4834
0.87582,786.3592
0.87648,787.23566
0.87648,788.1121
0.87648,788.9886
0.87912,789.86774
0.8811,790.74884
2.61624,793.36505
0.89166,794.2567
0.86856,795.12524
0.86988,795.9951
0.86856,796.86365
0.86988,797.7335
0.86856,798.60205
0.86724,799.4693
0.86724,800.33655
0.86658,801.2031
0.86592,802.06903
0.8778,802.94684
0.85536,803.8022
0.86724,804.66943
0.8679,805.53735
0.86922,806.40656
0.87318,807.2797
0.87384,808.15356
0.87318,809.02673
0.87714,809.9039
0.8778,810.7817
0.87714,811.6588
0.8778,812.5366
0.87846,813.4151
0.87846,814.2936
0.88044,815.174
0.87978,816.0538
0.88044,816.9342
0.88044,817.81464
0.88044,818.69507
0.8811,819.5762
0.87912,820.4553
0.87714,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
0.0,821.33246
MARK 002
0.89166,822.2241
0.88968,823.11383
0.88506,823.9989
0.8844,824.8833
0.8811,825.7644
0.87912,826.64355
0.8811,827.52466
0.87912,828.4038
0.87846,829.2823
0.87846,830.16077
0.87714,831.0379
0.87714,831.91504
0.89166,832.8067
0.8613,833.668
